username,content,like_count
崔听筠,谁小时候生病做过那种变大变小的梦，就是有点像那种几何空间，某一个物体突然放大，压迫感很强，给人一种很恐惧的感觉，但又很难去形容这种感觉[笑哭],9861
普瑞-赛斯_,有人和我一样，有过这种感觉：“很多年前做过的一个梦在很多年后的某一个晚上突然重新做了一遍，甚至有可能开始做那个梦的后续，这中间间隔的时间可能是一两年，可能是两年往上，但是梦醒了之后就是能很清晰的记得多年前曾经做过这个梦”吗？,5765
嘉泽胤阳,当我梦到自己在做梦时:,4543
薛定谔的狸花咕咕咕,你们都不把梦记下来吗[鸣潮·共鸣与群星_落魄],3370
降萝伏莉仙帝,之前一直有记梦的习惯，梦得多了，真有种庄周梦蝶一样不知哪边才是现实的感觉[脱单doge],3349
M-V-T,真的有人会像我一样闲到把每天做的梦记下来吗,2292
Rainman_E,我做梦梦到过我在这个电梯里旁边就是刘华强抗着水桶然后笑醒了[笑哭][笑哭][笑哭],2034
折纸无忧,当我把我的梦给石狮子说后，石狮子belike,1544
糸凛凛糸凛,我梦到我和tim一样千万粉丝了[傲娇],1371
大乔617,还是别了，我做的梦拍出来全是18禁[doge],1106
誓约寒,"老是梦到小学喜欢的女同桌[笑哭]
我感觉自己有点不正常了",1077
静雪-ci,对于我这种做梦的，甚至爱做噩梦的，我会有习惯用手机标签记录下来。可能噩梦的故事更加精彩？更丰富？而且我会享受那种被吓死来心有余悸的感觉。可能本身我比较多梦再加上还会记录的。所以也有一定的影响到我到现在20多了还会梦游。,998
红石方块Max,被鬼压床只要试着从控制力最强的头部开始左右摆动，然后是肩膀、手臂……慢慢试着让全身都摆动起来，就能逐渐解锁封印了[doge],966
月海_Tsugumi,没有人梦见高考或者回高中吗？,892
鱼鳄丶丶,我来看看怎么个事[doge],781
稳重一点啊,[藏狐]我...梦到过老板...和他一起工作...,736
冷心市民小玉,做梦怪谈：字怎么都打不对，食物怎么都吃不到，货币怎么都拿不出来,726
名字是一首歌,我尝试过控制梦境，开始时我尝试漫无目的地游走在梦中，随着“技能”的开发，我竟然可以和梦中的人对话，甚至亲吻，感觉似乎无比真实。但是我却发现我只能在梦中找到熟悉的人，梦境和现实相联，在现实中如果叫一声就会应答的人很容易在梦中找到，而我所喜欢而看见会自卑的人无法找到。愈发思考梦和现实的相联性，我想要在梦中跑步，梦中所产生的是在现实中跑一会就累，还是有着超人般的力量，可以让这种力量通过心理投射到现实中吗？如果可以梦中时我们愈发强大，现实也会更强吗？似乎是的，却又不是，如果无法有坚定的信念很难跨越梦境与现实的鸿沟，如果拥有或者相信梦境(本质是梦境带来的自信)，便可以让我们更加强大。然而自发控制梦境所带来的感觉或力量无法投射现实，唯有身处梦中而不知梦，并且相信它，便可能拥有来自梦的力量。我的设想是——控制一个信念坚定的人的梦境而让他不知梦境是被控制的，就有可能让他获得梦中的力量，从而投射现实。仅个人想法。,551
何不扬了它,up主分享的梦境转视频脚本需要不少门槛，许多人不太能够使用，所以我将脚本核心逻辑做成了豆包智能体，大家可以去豆包智能体里搜索使用，效果差距不会太大。,536
糸凛凛糸凛,在古代，穷人拥有影视飓风团队有多爽,535
