username,content,like_count
不知名花童,"从头看看女性，不是以窥探的目光从胸部看起，不是以扫视的目光从脚部看起，不是带着某某人的亲属的前缀，不是截取某一刻增添断章取义的评判，请从头看起。
从她在几千年的性别歧视下的呱呱坠地开始，到她拼尽全力获得的每一份荣誉，写在日记里的每一句梦想，每一段纤细的感受。去欣赏她阔挺的肩膀与素面朝天的笑容，去感受那副骨架下蕴含的力量与可能。
她是人民，她是创造者，她是女性，是这个人类世代的二分之一片天空。",241158
䒴榆子,看到粉发我起了一身鸡皮疙瘩，科技发展至今，文明的包容性却越来越小，网上什么都能吵起来。,70126
乱码泛滥,"那个转折性的画面，女孩把学士帽抛向上方，眼里正望未来，却被墨汁泼面的画面，染黑了头发割裂了脸颊，在眼泪与手背的涂抹下，她的头脸没有了明显的墨渍，取而代之的是一整片晦暗的深黑色。
这个画面和真实故事所共同营造的感染力袭击了我，传达着从未如此明切的悲哀与痛苦，我泪流不止。",60775
菇子怪,那个美好的女孩子的名字叫郑灵华，我会努力一直一直记得她。,49518
木木牙叨叨,最后真的好心痛啊，网暴的人为什么可以安然无事的躲在幕后呢？,33969
这是个6币的昵称,现在对劳动人民的宣传实在太少了，铺天盖地都是灯红酒绿的商业广告，写实的镜头不对准普通群众，就好像别人的生活都是生来奢靡的，和自己的现实一对比，有些人就要愤怒。劳动人民在主流媒体的隐身，会让人对劳动产生怀疑。,21017
天才小鱼干,看到最后的粉头发直接鸡皮疙瘩都起来了…,18323
猫剩可爱且帅,作为一个医务工作者，岗位中限制了很多对于美的追求。染指甲戴首饰这种对病人有明显有影响的事情不能做我赞同。但染头发呢？我曾经染过很漂亮的粉色，终日隐藏在蓝色的防护帽下，不能被病人看见，不能被家属看见，不能被领导看见。直到它褪色了，我也没有好好化个妆拍张好看的自拍。[tv_流泪]很羡慕每一个肆意美丽的你们。,17578
细品人生之味,如今的社会太包容了，以至于包容了太多不懂得包容的人。,16992
无敌小卢lll,本来安静的看着，感叹着姐姐好美，好用心，脸上洋溢着感动的微笑，直到突然出现了粉色头发毕业院服，心想着姐姐可真细心，连现代年轻女孩喜欢漂染头发这一点都考虑进去了，正当我以为视频即将这样结束的时候，突然落下来了不止不休的墨汁，我瞬间泪崩，不受腺体控制的那种，迸发出来。朋友们，这世界本是美好的，我不奢望那些社会上的蛀虫从此不复存在，只希望今后的世界可以多一些善意，少一些“不是故意的”恶意吧。,16229
接住我的小Yu滴,粉发妹妹的事我是之后才听说的，我以为是玩笑的，没想到是真事，太离谱了，我完全不能理解，因为一头粉发而网暴造谣致使一个年轻优秀的姑娘失去生命。太离谱了。,16180
长岛滚水,最后一幕出来的时候真的头皮发麻，由始至终我仍然想不明白究竟哪里出了问题，染个自己喜欢的发色，拍个好看的毕业照，和爷爷报喜，再发到网上分享喜悦，这一切的一切都平常至极，却落得个青春戛然而止的结果，真是地狱空荡荡，真可笑,14735
bili_48364288435,粉色头发可爱，蓝色头发可爱，彩色头发黑色头发都可爱，女孩子开心的时候最可爱，高的可爱，矮的可爱，胖的瘦的健康的都可爱，只要能身体健康，快快乐乐，每个人（包括男孩子哦）都是最可爱的（希望网络背后的每个人都能对彼此多一点善意呀）虽然不知道最后一个女孩子是谁，但我想告诉她，她真的很棒很可爱，她活成了自己想要的样子，值得夸赞，和UP小姐姐一样[打call],10639
多乐DOLLAR_,最后一幕一出来，眼泪瞬间流了下来，她到底做错了什么，她只是向大家分享了自己的幸福生活。,10119
Jreenyi,最后真的爆哭，谢谢up做出这么棒的视频。可能是上小学的时候看过的一个剧里一个女生自杀后留下了四个字：人言可畏。那时候我可能还不太理解这四个字的意思，但是从剧里我看到了语言是可以杀死一个人的。恶语伤人六月寒，谨言慎行，珍爱自己的生命，也对他人生命保持善意。,9726
账号已注销,那个女孩子真无辜🥺我也喜欢染发，金色，单位唯一一个染发的。虽然领导曾说我染发不端庄，但是我还是坚持染我喜欢的发色。因为美，二是没妨碍到他人。,8731
风莫101,大家需要知道，粉头发妹妹不光是因为她染粉色头发才被网暴，之前还有各种无良营销号无良机构盗图编故事才把她推到封口浪尖的，并不是完全是现在这个社会不能包容粉色头发才导致她发生悲剧的，这中间关键导火索被各种媒体弱化了，那些机构和营销号等罪魁祸首也应当被惩处才对[无语][无语][无语],7473
Lufroloc_,我自己也是头发会染五颜六色的女生，红的蓝的绿的紫的都染过。视频刚点开看到好多弹幕说要看到最后一秒，我还不懂缘由，粉色头发出现时秒懂，特别心痛，然后泪如雨下[大哭][大哭]…网络暴力像脏水，像视频里兜头而下的墨汁，怎么抹怎么擦都擦不干净…希望小姐姐来世要开开心心！要万事顺遂，也要喜乐平安，能随心所欲地染自己喜欢的颜色[大哭][大哭][大哭],6560
兰心莳青竹,迟到的正义已不是正义了，死去的人无法复生。希望大家共同努力，相关部门要对网络的整治加大力量，最大化减小网络暴力的存在，对造谣尤其是造黄谣的侮辱他人人格的人制定严格的法律制度。对于我们，要时刻铭记泼出去的水是收不回来的，要谨言慎行。时代是不断发展的，吾辈仍需努力。,5065
shushu103,我公司是平时穿T恤拖鞋也能上班的那种 有个领导很有意思 评价我的口红太红了 然后我回复他 我喜欢 他又说 太红了 我继续说我喜欢 说到第三遍的时候 他也许意识到了 我的潜台词就是不要你管 终于闭嘴了 道阻且长啊,3297
